STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH, EV24
  260,20160901,  283,   10,   18,   30,    9,    0,   20,   70,   16,  172,  102,   24,  229,   13,   78,   24,   62,   45, 1137,    0,    0,    0,    1,10219,10228,   19,10207,    2,    7,   24,   82,   12,    7,   83,   99,   24,   56,   14,   20
  260,20160902,  218,   28,   31,   50,   12,   10,    1,   90,   13,  166,   97,    2,  217,   13,   76,    6,   42,   31, 1301,   14,   10,    5,   20,10193,10216,    1,10175,   18,    4,    1,   80,   17,    8,   82,  100,    1,   63,   12,   22
  260,20160903,  218,   28,   29,   50,   12,   20,    1,  100,   23,  185,  144,    1,  229,   13,  129,    6,   49,   36, 1371,    9,   10,    6,   23,10158,10182,    8,10117,   24,   50,   19,   81,   15,    8,   79,   97,    5,   58,   15,   24
  260,20160904,  252,   43,   47,   60,    7,   30,   20,  140,   10,  179,  157,   23,  213,   10,  150,   24,   33,   25,  994,    9,   28,   10,    9,10106,10139,   24,10082,    8,   57,   14,   80,   15,    7,   82,   90,    3,   61,   11,   17
  260,20160905,  283,   16,   21,   40,    1,    0,   20,   70,    1,  173,  115,   24,  228,   16,   92,   24,   80,   60, 1255,    0,   -1,   -1,    3,10197,10241,   23,10142,    1,   56,   24,   82,   16,    6,   81,   98,   24,   57,   17,   22
  260,20160906,  175,   14,   17,   40,   10,    0,   19,   80,   11,  177,  113,    1,  242,   18,   91,    6,   58,   44, 1217,    0,    0,    0,    1,10249,10258,    9,10237,   24,    2,   21,   80,   12,    5,   87,  100,    1,   67,   12,   21
  260,20160907,  126,   13,   17,   30,    8,    0,    2,   50,   10,  183,  114,    4,  268,   16,   87,    6,  122,   92, 1881,    0,    0,    0,    1,10193,10232,    1,10138,   23,    4,    2,   83,   17,    1,   78,  100,    2,   47,   16,   33
  260,20160908,  219,   18,   27,   40,   12,   10,    1,   90,   15,  196,  116,    5,  276,   15,   91,    6,  122,   92, 1765,    0,    0,    0,    1,10119,10159,   24,10100,   10,   58,    5,   82,   16,    1,   77,   98,    5,   48,   15,   32
  260,20160909,  193,   18,   20,   40,   12,   10,    1,   70,   12,  169,  117,    5,  229,   14,   85,    6,  112,   85, 1606,    0,    0,    0,    1,10174,10183,    9,10161,    1,    4,    4,   80,   15,    1,   83,   99,    3,   53,   14,   28
  260,20160910,  184,   23,   26,   50,   14,   10,   22,   90,   14,  184,  113,    2,  257,   15,   83,    6,  105,   80, 1740,    0,    0,    0,    1,10153,10172,    1,10139,   16,   50,    1,   82,   13,    5,   74,   98,    1,   42,   14,   31
  260,20160911,  106,   11,   18,   30,    6,   10,    2,   70,    6,  185,  148,    1,  217,   16,  127,    6,   25,   19,  963,   19,   12,    5,    5,10174,10190,   11,10148,    1,   56,    5,   75,   12,    8,   89,   97,    6,   78,   15,   17
